bank_id,bank,n_obs,rmse,mae,bias,avg_actual_npl,avg_pred_npl
18409,Regions Bank,74,0.14374511055214587,0.09980822007595004,-6.267040190103238e-16,1.2600500045007417,1.2600500045007412
6548,U.S. Bank NA,74,0.2058591602962254,0.13404237142595568,-5.457346286586496e-16,2.0270047342138824,2.0270047342138815
5649,Fifth Third Bank NA,74,0.23719182242394193,0.17963135443677813,-7.974101859300955e-16,1.525705256477068,1.525705256477067
9846,Truist Bank,74,0.2487425859634789,0.15937852289361945,-1.112942320884796e-15,1.5640120902542685,1.5640120902542676
3511,Wells Fargo Bank NA,74,0.3459412436430786,0.19910857110182678,-1.7131566435727712e-15,3.3224384771548596,3.3224384771548574
628,JPMorgan Chase Bank NA,74,0.3573301637222587,0.21343618585004337,-1.3144515506077233e-15,2.7988943270198043,2.798894327019803
6672,KeyBank NA,74,0.35810327555126403,0.17932579758479877,-4.677189566579629e-16,1.5694775172223514,1.569477517222351
7213,Citibank NA,74,0.360567516748009,0.20459968374492762,-1.2553420202742704e-15,2.0322863543004814,2.03228635430048
6384,PNC Bank NA,74,0.417707966621343,0.18045922576303844,-8.154138025456386e-16,2.2286385443925143,2.2286385443925134
3510,Bank of America NA,74,0.428084485097872,0.27634183532622497,-2.255500942735297e-15,2.9113653793093803,2.9113653793093777
