spec,variable,coef,p_value,r2,rmse_pp
Lag only (no contemporaneous unemployment),npl_lag1,0.9373736670715085,0.0,0.9744002747129288,0.2993841836068198
Lag only (no contemporaneous unemployment),real_gdp_growth_lag2,-0.004392174069696504,0.002537547663631555,0.9744002747129288,0.2993841836068198
Lag only (no contemporaneous unemployment),unemployment_lag1,0.0055987900424481485,0.4073086810500287,0.9744002747129288,0.2993841836068198
Lag only (no contemporaneous unemployment),t3m_lag1,-0.13137378089920732,2.4913041199424436e-11,0.9744002747129288,0.2993841836068198
Lag only (no contemporaneous unemployment),cpi_inflation_lag1,-0.05459121958920043,4.771904748553492e-06,0.9744002747129288,0.2993841836068198
Lag only (no contemporaneous unemployment),mortgage_rate_lag1,0.24546198540065384,2.384153611127987e-15,0.9744002747129288,0.2993841836068198
Lag only (no contemporaneous unemployment),house_price_index_lag1,0.0009116439487569942,2.901863813578175e-05,0.9744002747129288,0.2993841836068198
Lag + contemporaneous unemployment,npl_lag1,0.93039111466137,0.0,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,real_gdp_growth_lag2,-0.004649564708630392,0.0013902204537097399,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,unemployment_lag1,-0.019103998240121947,0.017747483782484832,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,t3m_lag1,-0.120247105182444,1.7130971749750472e-10,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,cpi_inflation_lag1,-0.04977785674642486,1.957328704532741e-05,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,mortgage_rate_lag1,0.23026943536117533,1.2933976376385222e-14,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,house_price_index_lag1,0.0009224976271389891,2.0685549533880185e-05,0.9749701793944936,0.2960329609004286
Lag + contemporaneous unemployment,unemployment,0.0401548294492631,1.6903083729020924e-06,0.9749701793944936,0.2960329609004286
